contracts_id,contracts_dateEnd,contracts_image,contracts_name,contracts_shortName,contracts_status,contracts_lastTradePrice,contracts_bestBuyYesCost,contracts_bestBuyNoCost,contracts_bestSellYesCost,contracts_bestSellNoCost,contracts_lastClosePrice,contracts_displayOrder,id
31299,NA,https://az620379.vo.msecnd.net/images/Contracts/small_0876890d-22c8-4a07-b9dd-7719754eee7e.jpg,Republican,Republican,Open,0.62,0.64,0.38,0.62,0.36,0.62,0,8076
31300,NA,https://az620379.vo.msecnd.net/images/Contracts/small_4925e586-edc2-4238-8237-e8c2b2fa429d.png,Democratic,Democratic,Open,0.4,0.41,0.6,0.4,0.59,0.39,0,8076
31306,NA,https://az620379.vo.msecnd.net/images/Contracts/small_0876890d-22c8-4a07-b9dd-7719754eee7e.jpg,GOP by 215+,GOP by 215+,Open,0.08,0.09,0.92,0.08,0.91,0.08,0,8077
31315,NA,https://az620379.vo.msecnd.net/images/Contracts/small_0876890d-22c8-4a07-b9dd-7719754eee7e.jpg,GOP by 155 - 214,GOP by 155 - 214,Open,0.09,0.1,0.91,0.09,0.9,0.09,1,8077
31313,NA,https://az620379.vo.msecnd.net/images/Contracts/small_0876890d-22c8-4a07-b9dd-7719754eee7e.jpg,GOP by 105 - 154,GOP by 105 - 154,Open,0.17,0.17,0.84,0.16,0.83,0.16,2,8077
31311,NA,https://az620379.vo.msecnd.net/images/Contracts/small_0876890d-22c8-4a07-b9dd-7719754eee7e.jpg,GOP by 65 - 104,GOP by 65 - 104,Open,0.2,0.21,0.8,0.2,0.79,0.18,3,8077
31305,NA,https://az620379.vo.msecnd.net/images/Contracts/small_0876890d-22c8-4a07-b9dd-7719754eee7e.jpg,GOP by 35 - 64,GOP by 35 - 64,Open,0.11,0.12,0.89,0.11,0.88,0.11,4,8077
31303,NA,https://az620379.vo.msecnd.net/images/Contracts/small_0876890d-22c8-4a07-b9dd-7719754eee7e.jpg,GOP by 15 - 34,GOP by 15 - 34,Open,0.06,0.07,0.94,0.06,0.93,0.06,5,8077
31302,NA,https://az620379.vo.msecnd.net/images/Contracts/small_0876890d-22c8-4a07-b9dd-7719754eee7e.jpg,GOP by 5 - 14,GOP by 5 - 14,Open,0.03,0.04,0.97,0.03,0.96,0.04,6,8077
31301,NA,https://az620379.vo.msecnd.net/images/Contracts/small_0876890d-22c8-4a07-b9dd-7719754eee7e.jpg,GOP by 1 - 4,GOP by 1 - 4,Open,0.03,0.04,0.97,0.03,0.96,0.03,7,8077
31307,NA,https://az620379.vo.msecnd.net/images/Contracts/small_34d54d67-380f-474a-85e1-b8e764160897.jpg,Dems by 0 - 4,Dems by 0 - 4,Open,0.06,0.06,0.95,0.05,0.94,0.05,8,8077
31308,NA,https://az620379.vo.msecnd.net/images/Contracts/small_34d54d67-380f-474a-85e1-b8e764160897.jpg,Dems by 5 - 14,Dems by 5 - 14,Open,0.05,0.06,0.95,0.05,0.94,0.05,9,8077
31309,NA,https://az620379.vo.msecnd.net/images/Contracts/small_34d54d67-380f-474a-85e1-b8e764160897.jpg,Dems by 15 - 34,Dems by 15 - 34,Open,0.06,0.07,0.94,0.06,0.93,0.06,10,8077
31304,NA,https://az620379.vo.msecnd.net/images/Contracts/small_34d54d67-380f-474a-85e1-b8e764160897.jpg,Dems by 35 - 64,Dems by 35 - 64,Open,0.07,0.08,0.93,0.07,0.92,0.07,11,8077
31312,NA,https://az620379.vo.msecnd.net/images/Contracts/small_34d54d67-380f-474a-85e1-b8e764160897.jpg,Dems by 65 - 104,Dems by 65 - 104,Open,0.07,0.08,0.93,0.07,0.92,0.07,12,8077
31314,NA,https://az620379.vo.msecnd.net/images/Contracts/small_34d54d67-380f-474a-85e1-b8e764160897.jpg,Dems by 105 - 154,Dems by 105 - 154,Open,0.04,0.05,0.96,0.04,0.95,0.04,13,8077
31316,NA,https://az620379.vo.msecnd.net/images/Contracts/small_34d54d67-380f-474a-85e1-b8e764160897.jpg,Dems by 155 - 214,Dems by 155 - 214,Open,0.02,0.03,0.98,0.02,0.97,0.02,14,8077
31310,NA,https://az620379.vo.msecnd.net/images/Contracts/small_34d54d67-380f-474a-85e1-b8e764160897.jpg,Dems by 215+,Dems by 215+,Open,0.02,0.03,0.98,0.02,0.97,0.02,15,8077
